                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.80043,                0.57004,                 1.1118,                0.83304,                0.79846,                0.82465,                0.56594,                 1.2283,                0.84382,                 1.5063,              0.0006734,              0.0006734,              0.0006734
                    136,                0.81308,                0.56634,                 1.1113,                0.82334,                0.78816,                0.81409,                  0.557,                 1.2317,                0.83809,                 1.5086,              0.0006635,              0.0006635,              0.0006635
                    137,                0.80585,                0.58518,                 1.1153,                0.81951,                0.79438,                0.81685,                0.55705,                 1.2087,                0.84155,                 1.4992,              0.0006536,              0.0006536,              0.0006536
                    138,                0.78996,                0.56503,                 1.1032,                0.80917,                0.81046,                0.82117,                0.56671,                 1.2039,                0.82726,                 1.4888,              0.0006437,              0.0006437,              0.0006437
                    139,                0.80254,                0.56414,                  1.116,                0.80697,                0.80532,                0.81612,                 0.5617,                 1.2126,                0.82922,                 1.4962,              0.0006338,              0.0006338,              0.0006338
                    140,                0.78999,                0.56068,                 1.1069,                0.82837,                0.78647,                0.81714,                0.56024,                 1.2217,                0.83125,                  1.509,              0.0006239,              0.0006239,              0.0006239
                    141,                0.82206,                0.56523,                 1.1275,                 0.8287,                0.79417,                0.81942,                0.56283,                 1.2262,                 0.8229,                 1.5249,               0.000614,               0.000614,               0.000614
                    142,                0.79783,                0.66537,                 1.1027,                0.82525,                0.78302,                0.81813,                 0.5605,                 1.2132,                0.85384,                  1.504,              0.0006041,              0.0006041,              0.0006041
                    143,                0.80346,                0.56723,                 1.1113,                0.81667,                0.78902,                0.81397,                0.55858,                 1.2069,                0.84725,                 1.4979,              0.0005942,              0.0005942,              0.0005942
                    144,                 0.7744,                0.54242,                 1.0929,                 0.7982,                0.79377,                0.81426,                0.55899,                 1.2092,                0.83953,                 1.5056,              0.0005843,              0.0005843,              0.0005843
